Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Location 106,,We are morphing so fast that our ability to invent new things outpaces the rate we can civilize them., Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 146,,Our greatest invention in the past 200 years was not a particular gadget or tool but the invention of the scientific process itself., Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 202,,"But as our personal technology is becoming more complex, more codependent upon peripherals, more like a living ecosystem, delaying upgrading is even more disruptive. If you neglect ongoing minor upgrades, the change backs up so much that the eventual big upgrade reaches traumatic proportions.", Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 208,,Technological life in the future will be a series of endless upgrades., Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 211,,"In this era of “becoming,” everyone becomes a newbie. Worse, we will be newbies forever. That should keep us humble.", Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 1464,,"The link and the tag now make screening the universal library possible, and powerful.", Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
Highlight (Yellow),Location 2386,,"At this point in our history, sharing something that has not been shared before, or in a new way, is the surest way to increase its value.", Kevin Kelly,The Inevitable: Understanding The 12 Technological Forces That Will Shape Our Future
