Annotation Type,Location,Starred?,Annotation,Author,Title
Highlight (Yellow),Location 643,,You can’t learn if you think you already know. You will not find the answers if you’re too conceited and self-assured to ask the questions. You cannot get better if you’re convinced you are the best.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 645,,"We not only need to take this harsh feedback, but actively solicit it, labor to seek out the negative precisely when our friends and family and brain are telling us that we’re doing great.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 700,,"Opportunities are not usually deep, virgin pools that require courage and boldness to dive into, but instead are obscured, dusted over, blocked by various forms of resistance. What is really called for in these circumstances is clarity, deliberateness, and methodological determination.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 715,,"Passion typically masks a weakness. Its breathlessness and impetuousness and franticness are poor substitutes for discipline, for mastery, for strength and purpose and perseverance. You need to be able to spot this in others and in yourself, because while the origins of passion may be earnest and good, its effects are comical and then monstrous.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 728,,"What humans require in our ascent is purpose and realism. Purpose, you could say, is like passion with boundaries. Realism is detachment and perspective.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 783,,Find canvases for other people to paint on. Be an anteambulo. Clear the path for the people above you and you will eventually create a path for yourself.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 787,,attach yourself to people and organizations who are already successful and subsume your identity into theirs and move both forward simultaneously.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 816,,Greatness comes from humble beginnings; it comes from grunt work. It means you’re the least important person in the room—until you change that with results.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 830,,"Maybe it’s coming up with ideas to hand over to your boss. Find people, thinkers, up-and-comers to introduce them to each other. Cross wires to create new sparks. Find what nobody else wants to do and do it. Find inefficiencies and waste and redundancies. Identify leaks and patches to free up resources for new areas. Produce more than everyone else and give your ideas away",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 843,,"the person who clears the path ultimately controls its direction, just as the canvas shapes the painting.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 899,,understand that it doesn’t degrade you when others treat you poorly; it degrades them.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1001,,"Living clearly and presently takes courage. Don’t live in the haze of the abstract, live with the tangible and real, even if—especially if—it’s uncomfortable. Be part of what’s going on around you. Feast on it, adjust for it.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1003,,"There’s no one to perform for. There is just work to be done and lessons to be learned, in all that is around us.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1022,,"Pride blunts the very instrument we need to own in order to succeed: our mind. Our ability to learn, to adapt, to be flexible, to build relationships, all of this is dulled by pride.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1054,,"Receive feedback, maintain hunger, and chart a proper course in life. Pride dulls these senses. Or in other cases, it tunes up other negative parts of ourselves: sensitivity, a persecution complex, the ability to make everything about us.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1058,,"“Even the tallest mountains have animals that, when they stand on it, are higher than the mountain.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1085,,"“It’s not with ideas, my dear Degas, that one makes verse. It’s with words.” Or rather, with work.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1093,,"“That germ of an idea,” she told him, “does not make a sculpture which stands up. It just sits there. So the next stage, of course, is the hard work.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1101,,"to get where we want to go isn’t about brilliance, but continual effort.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1103,,"it’s all within reach—for all of us, provided we have the constitution and humbleness to be patient and the fortitude to put in the work.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1109,,"As a young man, Bill Clinton began a collection of note cards upon which he would write names and phone numbers of friends and acquaintances who might be of service when he eventually entered politics. Each night, before he ever had a reason to, he would flip through the box, make phone calls, write letters, or add notations about their interactions. Over the years, this collection grew—to ten thousand cards (before it was eventually digitized). It’s what put him in the Oval Office and continues to return dividends.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1118,,"Do we love work, making a living to do work, not the other way around? Do we love practice, the way great athletes do?",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1120,,"Fac, si facis. (Do it if you’re going to do it.)",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1134,,Make it so you don’t have to fake it—that’s the key.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1136,,"Every time you sit down to work, remind yourself: I am delaying gratification by doing this. I am passing the marshmallow test. I am earning what my ambition burns for. I am making an investment in myself instead of in my ego.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1160,,"for the first couple years that you’re making stuff, what you’re making isn’t so good . . . It’s really not that great. It’s trying to be good, it has ambition to be good, but it’s not quite that good. But your taste—the thing that got you into the game—your taste is still killer, and your taste is good enough that you can tell that what you’re making is kind of a disappointment to you.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1172,,"“I am going to be myself, the best version of that self. I am in this for the long game, no matter how brutal it might be.” To do, not be.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1270,,"Success is intoxicating, yet to sustain it requires sobriety. We can’t keep learning if we think we already know everything.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1291,,"Genghis Khan was not born a genius. Instead, as one biographer put it, his was “a persistent cycle of pragmatic learning, experimental adaptation, and constant revision driven by his uniquely disciplined and focused will.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1310,,"The physicist John Wheeler, who helped develop the hydrogen bomb, once observed that “as our island of knowledge grows, so does the shore of our ignorance.” In other words, each victory and advancement that made Khan smarter also bumped him against new situations he’d never encountered before.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1312,,"It takes a special kind of humility to grasp that you know less, even as you know and grasp more and more.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1335,,engage in education as an ongoing and endless process.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1387,,the team failed terribly—partly due to the dangerous confidence that accompanies these kinds of victories—losing 12 of 22 games. This is what happens when you prematurely credit yourself with powers you don’t yet have control of. This is what happens when you start to think about what your rapid achievements say about you and begin to slacken the effort and standards that initially fueled them.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1409,,"He wants them to have “frighteningly ambitious” ideas, but explains, “The way to do really big things seems to be to start with deceptively small things.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1410,,start with a small bet and iteratively scale your ambitions as you go.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1424,,"Instead of pretending that we are living some great story, we must remain focused on the execution—and on executing with excellence.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1442,,"As Sherman wrote with sympathy and understanding of his friend, Grant had “aimed to rival the millionaires, who would have given their all to have won any of his battles.”",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1455,,"All of us waste precious life doing things we don’t like, to prove ourselves to people we don’t respect, and to get things we don’t want.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1460,,"The farther you travel down that path of accomplishment, whatever it may be, the more often you meet other successful people who make you feel insignificant.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1473,,"According to Seneca, the Greek word euthymia is one we should think of often: it is the sense of our own path and how to stay on it without getting distracted by all the others that intersect it.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1518,,Both entrepreneurship and art required the creation of something where nothing existed before.,Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1580,,"As president, his first priority in office was organizing the executive branch into a smooth, functioning, and order-driven unit, just like his military units had been—not because he didn’t want to work himself, but because everyone had a job and he trusted and empowered them to do it.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1625,,"As you become successful in your own field, your responsibilities may begin to change. Days become less and less about doing and more and more about making decisions. Such is the nature of leadership.",Ryan Holiday,Ego Is The Enemy
Highlight (Yellow),Location 1674,,"his sense of honor meant turning down honors, and often letting them go to other people. Like any normal human being, he wanted them, only the right way.",Ryan Holiday,Ego Is The Enemy
